Date,High,Low,Close,Volume,Open
2022-06-16,364.0,341.149994,343.149994,2376496,359.950012
2022-06-17,346.399994,329.0,330.450012,2219007,337.0
2022-06-20,334.75,316.450012,322.100006,1865464,334.0
2022-06-21,337.25,323.25,335.350006,1801191,330.0
2022-06-22,344.149994,330.399994,342.549988,2522925,334.0
2022-06-23,354.149994,342.700012,352.649994,2209239,348.0
2022-06-24,363.549988,353.0,361.649994,1978029,356.649994
2022-06-27,378.0,364.0,373.100006,2721452,365.899994
2022-06-28,375.899994,365.399994,369.799988,1645109,370.0
2022-06-29,376.549988,361.100006,370.950012,2913484,361.899994
2022-06-30,374.5,351.0,353.25,2151632,371.0
2022-07-01,357.100006,343.549988,349.450012,1752456,353.700012
2022-07-04,357.549988,342.5,344.850006,2128360,354.899994
2022-07-05,349.75,343.25,344.049988,2196450,348.0
2022-07-06,347.5,337.25,339.950012,1848847,346.0
2022-07-07,344.299988,338.5,340.5,2211420,343.899994
2022-07-08,347.399994,341.700012,343.649994,1774915,344.0
2022-07-11,342.0,328.350006,337.75,2828231,342.0
2022-07-12,343.0,334.049988,336.75,2274166,337.0
2022-07-13,346.799988,337.0,345.700012,2578766,340.399994
2022-07-14,341.850006,315.799988,317.549988,6740664,336.649994
2022-07-15,321.899994,306.799988,309.600006,5485081,321.0
2022-07-18,320.899994,311.049988,318.0,3009874,312.350006
2022-07-19,328.649994,315.899994,327.799988,3213676,317.0
2022-07-20,336.549988,329.549988,335.25,2798736,334.799988
2022-07-21,340.299988,333.549988,338.399994,2604631,336.75
2022-07-22,343.5,331.75,333.5,1545422,340.0
2022-07-25,335.899994,330.25,332.75,1018447,333.0
2022-07-26,333.700012,317.450012,319.450012,2231893,333.700012
2022-07-27,327.75,316.0,326.0,2370041,318.0
2022-07-28,331.5,325.799988,329.299988,2517947,330.0
2022-07-29,340.75,331.600006,336.0,2514792,333.0
2022-08-01,343.5,334.799988,342.399994,1880283,339.100006
2022-08-02,342.399994,333.5,334.549988,1732053,342.200012
2022-08-03,347.0,334.299988,342.350006,4939662,335.399994
2022-08-04,354.950012,342.549988,350.149994,5268225,343.0
2022-08-05,353.25,344.600006,345.950012,2178320,353.25
2022-08-08,349.0,338.399994,343.600006,2013739,348.0
2022-08-10,345.350006,333.75,336.0,1922983,344.899994
2022-08-11,352.950012,340.0,343.100006,3460158,340.0
2022-08-12,344.299988,339.0,340.549988,1304455,343.0
2022-08-16,344.149994,334.100006,335.899994,1857000,341.200012
2022-08-17,342.700012,334.200012,339.0,3008023,337.299988
2022-08-18,338.850006,332.600006,334.5,2001328,338.850006
2022-08-19,342.350006,327.600006,331.5,2710173,335.200012
2022-08-22,329.450012,320.450012,323.0,2323609,328.649994
2022-08-23,322.350006,314.200012,321.299988,3145777,316.25
2022-08-24,326.25,319.0,320.299988,1536007,321.299988
2022-08-25,327.399994,322.450012,323.899994,1193710,322.600006
2022-08-26,328.600006,320.0,321.649994,1027518,326.600006
2022-08-29,314.0,306.149994,312.149994,2119808,311.200012
2022-08-30,323.200012,313.049988,321.350006,1700071,315.5
2022-09-01,323.850006,316.100006,321.899994,1335617,317.0
2022-09-02,325.600006,319.899994,320.950012,1437386,323.399994
2022-09-05,325.299988,317.0,322.5,2290268,317.0
2022-09-06,324.850006,318.200012,323.200012,1156589,322.5
2022-09-07,322.799988,317.100006,317.950012,3796332,320.0
2022-09-08,327.0,317.350006,318.299988,3028681,323.399994
2022-09-09,331.350006,318.200012,328.75,4075468,321.399994
2022-09-12,341.200012,329.5,338.049988,5357436,332.0
2022-09-13,342.0,334.0,334.950012,1766155,341.399994
2022-09-14,329.700012,323.0,324.5,2710077,324.5
2022-09-15,328.0,318.25,319.200012,1805972,326.700012
2022-09-16,319.600006,306.0,308.100006,2542624,319.200012
2022-09-19,311.399994,297.25,300.149994,3489957,311.200012
2022-09-20,310.149994,303.0,304.799988,1821692,303.5
2022-09-21,306.700012,299.25,302.5,1921494,305.0
2022-09-22,306.850006,298.700012,303.600006,1648633,300.0
2022-09-23,306.700012,298.0,299.149994,1815085,303.600006
2022-09-26,298.450012,283.799988,290.700012,2968854,298.450012
2022-09-27,296.600006,288.75,290.899994,1455093,294.700012
2022-09-28,290.399994,284.200012,285.299988,1282175,289.600006
2022-09-29,290.799988,279.399994,280.799988,2125356,290.0
2022-09-30,285.200012,277.850006,282.450012,1767526,281.0
2022-10-03,284.299988,277.149994,278.899994,995894,283.0
2022-10-04,290.850006,281.399994,286.950012,3012926,284.899994
2022-10-06,298.399994,290.549988,295.149994,2089120,290.899994
2022-10-07,297.25,292.600006,293.649994,933206,294.899994
2022-10-10,289.850006,279.600006,289.100006,4479425,289.0
2022-10-11,294.149994,280.649994,281.700012,2868007,292.5
